Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date.1,Time.1,Comp.1,Round.1,Day.1,Venue.1,Result.1,GF.1,GA.1,Opponent.1,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG.1,npxG,npxG/Sh,G-xG,np:G-xG,Match Report.1
07/11/2023,18:45 (17:45),Champions Lg,Group stage,Tue,Away,L,0,2,de Dortmund,0.6,1.4,54.0,"81,365",Jamaal Lascelles,4-3-3,4-2-3-1,Alejandro Hernández,Match Report,,07/11/2023,18:45 (17:45),Champions Lg,Group stage,Tue,Away,L,0,2,de Dortmund,0,10.0,5.0,50.0,0.0,0.0,20.6,1.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Match Report
11/11/2023,17:30,Premier League,Matchweek 12,Sat,Away,L,0,2,Bournemouth,0.5,2.4,52.0,"11,201",Jamaal Lascelles,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,11/11/2023,17:30,Premier League,Matchweek 12,Sat,Away,L,0,2,Bournemouth,0,8.0,5.0,62.5,0.0,0.0,19.5,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,Match Report
25/11/2023,15:00,Premier League,Matchweek 13,Sat,Home,W,4,1,Chelsea,2.4,0.5,54.0,"52,227",Jamaal Lascelles,4-3-3,4-2-3-1,Simon Hooper,Match Report,,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Home,W,4,1,Chelsea,4,14.0,5.0,35.7,0.29,0.8,17.0,1.0,0.0,0.0,2.4,2.4,0.17,1.6,1.6,Match Report
28/11/2023,21:00 (20:00),Champions Lg,Group stage,Tue,Away,D,1,1,fr Paris S-G,1.3,4.4,28.0,"46,435",Jamaal Lascelles,4-3-3,4-3-3,Szymon Marciniak,Match Report,,28/11/2023,21:00 (20:00),Champions Lg,Group stage,Tue,Away,D,1,1,fr Paris S-G,1,5.0,2.0,40.0,0.2,0.5,17.6,1.0,0.0,0.0,1.3,1.3,0.26,-0.3,-0.3,Match Report
02/12/2023,20:00,Premier League,Matchweek 14,Sat,Home,W,1,0,Manchester Utd,2.4,0.5,58.0,"52,214",Jamaal Lascelles,4-3-3,4-2-3-1,Robert Jones,Match Report,,02/12/2023,20:00,Premier League,Matchweek 14,Sat,Home,W,1,0,Manchester Utd,1,22.0,4.0,18.2,0.05,0.25,16.4,1.0,0.0,0.0,2.4,2.4,0.11,-1.4,-1.4,Match Report
07/12/2023,19:30,Premier League,Matchweek 15,Thu,Away,L,0,3,Everton,1.5,3.3,62.0,"38,198",Jamaal Lascelles,4-3-3,4-4-1-1,Tim Robinson,Match Report,,07/12/2023,19:30,Premier League,Matchweek 15,Thu,Away,L,0,3,Everton,0,13.0,3.0,23.1,0.0,0.0,19.3,1.0,0.0,0.0,1.5,1.5,0.12,-1.5,-1.5,Match Report
10/12/2023,16:30,Premier League,Matchweek 16,Sun,Away,L,1,4,Tottenham,1.7,3.8,44.0,"61,171",Jamaal Lascelles,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,10/12/2023,16:30,Premier League,Matchweek 16,Sun,Away,L,1,4,Tottenham,1,9.0,3.0,33.3,0.11,0.33,14.4,0.0,0.0,0.0,1.7,1.7,0.19,-0.7,-0.7,Match Report
13/12/2023,20:00,Champions Lg,Group stage,Wed,Home,L,1,2,it Milan,1.8,1.9,58.0,"52,037",Jamaal Lascelles,4-3-3,4-2-3-1,Danny Makkelie,Match Report,,13/12/2023,20:00,Champions Lg,Group stage,Wed,Home,L,1,2,it Milan,1,17.0,6.0,35.3,0.06,0.17,18.0,1.0,0.0,0.0,1.8,1.8,0.11,-0.8,-0.8,Match Report
16/12/2023,15:00,Premier League,Matchweek 17,Sat,Home,W,3,0,Fulham,3.5,0.3,70.0,"52,055",Jamaal Lascelles,4-3-3,4-2-3-1,Samuel Barrott,Match Report,,16/12/2023,15:00,Premier League,Matchweek 17,Sat,Home,W,3,0,Fulham,3,27.0,10.0,37.0,0.11,0.3,14.4,0.0,0.0,0.0,3.5,3.5,0.14,-0.5,-0.5,Match Report
19/12/2023,20:00,EFL Cup,Quarter-finals,Tue,Away,D,1 (2),1 (4),Chelsea,,,22.0,"38,058",Jamaal Lascelles,4-3-3,4-2-3-1,Jarred Gillett,Match Report,Chelsea won on penalty kicks following extra time,19/12/2023,20:00,EFL Cup,Quarter-finals,Tue,Away,D,1 (2),1 (4),Chelsea,1,4.0,2.0,50.0,0.25,0.5,,,0.0,0.0,,,,,,Match Report
23/12/2023,15:00,Premier League,Matchweek 18,Sat,Away,L,0,1,Luton Town,1.4,1.4,65.0,"11,042",Jamaal Lascelles,4-3-3,3-4-3,Darren England,Match Report,,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Away,L,0,1,Luton Town,0,15.0,2.0,13.3,0.0,0.0,12.2,0.0,0.0,0.0,1.4,1.4,0.1,-1.4,-1.4,Match Report
26/12/2023,12:30,Premier League,Matchweek 19,Tue,Home,L,1,3,Nott'ham Forest,2.4,3.5,62.0,"52,207",Kieran Trippier,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,26/12/2023,12:30,Premier League,Matchweek 19,Tue,Home,L,1,3,Nott'ham Forest,1,18.0,5.0,27.8,0.0,0.0,15.1,1.0,1.0,1.0,2.4,1.6,0.1,-1.4,-1.6,Match Report
01/01/2024,20:00,Premier League,Matchweek 20,Mon,Away,L,2,4,Liverpool,0.6,7.0,39.0,"57,471",Dan Burn,4-3-3,4-3-3,Anthony Taylor,Match Report,,01/01/2024,20:00,Premier League,Matchweek 20,Mon,Away,L,2,4,Liverpool,2,5.0,3.0,60.0,0.4,0.67,16.1,0.0,0.0,0.0,0.6,0.6,0.12,1.4,1.4,Match Report
06/01/2024,12:45,FA Cup,Third round proper,Sat,Away,W,3,0,Sunderland,,,64.0,"44,814",Kieran Trippier,4-3-3,4-2-3-1,Craig Pawson,Match Report,,06/01/2024,12:45,FA Cup,Third round proper,Sat,Away,W,3,0,Sunderland,2,10.0,4.0,40.0,0.1,0.25,,,1.0,1.0,,,,,,Match Report
