Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date.1,Time.1,Comp.1,Round.1,Day.1,Venue.1,Result.1,GF.1,GA.1,Opponent.1,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG.1,npxG,npxG/Sh,G-xG,np:G-xG,Match Report.1
06/08/2023,16:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,,,55.0,"81,145",Kyle Walker,4-2-3-1,4-3-3,Stuart Attwell,Match Report,,06/08/2023,16:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,1,8.0,4.0,50.0,0.13,0.25,,,0.0,0.0,,,,,,Match Report
11/08/2023,20:00,Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,1.9,0.3,65.0,"21,572",Kevin De Bruyne,4-2-3-1,5-4-1,Craig Pawson,Match Report,,11/08/2023,20:00,Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,3,17.0,8.0,47.1,0.18,0.38,13.9,0.0,0.0,0.0,1.9,1.9,0.12,1.1,1.1,Match Report
16/08/2023,22:00 (20:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (5),1 (4),es Sevilla,,,74.0,,Kyle Walker,4-2-3-1,4-2-3-1,François Letexier,Match Report,,16/08/2023,22:00 (20:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (5),1 (4),es Sevilla,1,23.0,7.0,30.4,0.04,0.14,,,0.0,0.0,,,,,,Match Report
19/08/2023,20:00,Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1.0,0.3,59.0,"53,419",Kyle Walker,4-2-3-1,4-3-3,Robert Jones,Match Report,,19/08/2023,20:00,Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1,14.0,4.0,28.6,0.07,0.25,17.9,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,Match Report
27/08/2023,14:00,Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,3.5,0.7,79.0,"31,336",Kyle Walker,4-2-3-1,3-5-2,Jarred Gillett,Match Report,,27/08/2023,14:00,Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,2,29.0,9.0,31.0,0.07,0.22,17.3,2.0,0.0,1.0,3.5,2.8,0.1,-1.5,-0.8,Match Report
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,2.2,1.4,68.0,"52,899",Kyle Walker,4-2-3-1,4-3-3,Michael Oliver,Match Report,,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,5,6.0,4.0,66.7,0.67,1.0,14.8,0.0,1.0,1.0,2.2,1.4,0.25,2.8,2.6,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3.6,0.9,68.0,"62,475",Kyle Walker,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3,29.0,13.0,44.8,0.1,0.23,16.4,1.0,0.0,0.0,3.6,3.6,0.13,-0.6,-0.6,Match Report
19/09/2023,20:00,Champions Lg,Group stage,Tue,Home,W,3,1,rs Red Star,4.1,0.8,76.0,"50,204",Kyle Walker,4-2-3-1,5-3-2,João Pinheiro,Match Report,,19/09/2023,20:00,Champions Lg,Group stage,Tue,Home,W,3,1,rs Red Star,3,37.0,16.0,43.2,0.08,0.19,15.2,1.0,0.0,0.0,4.1,4.1,0.11,-1.1,-1.1,Match Report
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,1.3,1.0,57.0,"53,413",Kyle Walker,4-2-3-1,5-4-1,Anthony Taylor,Match Report,,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,2,7.0,4.0,57.1,0.29,0.5,17.2,2.0,0.0,0.0,1.3,1.3,0.19,0.7,0.7,Match Report
27/09/2023,20:00,EFL Cup,Third round,Wed,Away,L,0,1,Newcastle Utd,,,67.0,"51,692",Nathan Aké,3-2-4-1,4-3-3,Chris Kavanagh,Match Report,,27/09/2023,20:00,EFL Cup,Third round,Wed,Away,L,0,1,Newcastle Utd,0,10.0,2.0,20.0,0.0,0.0,,,0.0,0.0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,0.9,0.4,68.0,"31,415",Kyle Walker,4-2-3-1,3-4-3,Craig Pawson,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,1,23.0,8.0,34.8,0.04,0.13,19.3,1.0,0.0,0.0,0.9,0.9,0.04,0.1,0.1,Match Report
04/10/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,W,3,1,de RB Leipzig,2.2,0.5,68.0,"45,228",Kyle Walker,3-2-4-1,4-2-3-1,Artur Soares Dias,Match Report,,04/10/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,W,3,1,de RB Leipzig,3,18.0,5.0,27.8,0.17,0.6,14.7,1.0,0.0,0.0,2.2,2.2,0.13,0.8,0.8,Match Report
08/10/2023,16:30,Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.5,0.4,51.0,"60,233",Kyle Walker,4-3-3,4-3-3,Michael Oliver,Match Report,,08/10/2023,16:30,Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0,4.0,0.0,0.0,0.0,,14.9,0.0,0.0,0.0,0.5,0.5,0.12,-0.5,-0.5,Match Report
21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,0.8,0.8,55.0,"53,466",Kyle Walker,3-2-4-1,4-2-3-1,Robert Jones,Match Report,,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,2,10.0,5.0,50.0,0.2,0.4,18.8,1.0,0.0,0.0,0.8,0.8,0.08,1.2,1.2,Match Report
25/10/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,W,3,1,ch Young Boys,4.2,0.4,68.0,"31,500",Rúben Dias,3-2-4-1,4-3-3,Morten Krogh,Match Report,,25/10/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,W,3,1,ch Young Boys,3,25.0,12.0,48.0,0.08,0.17,15.4,0.0,1.0,1.0,4.2,3.5,0.14,-1.2,-1.5,Match Report
29/10/2023,15:30,Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,4.0,0.9,60.0,"73,502",Kyle Walker,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,29/10/2023,15:30,Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,3,20.0,9.0,45.0,0.1,0.22,17.2,2.0,1.0,1.0,4.0,3.2,0.16,-1.0,-1.2,Match Report
04/11/2023,15:00,Premier League,Matchweek 11,Sat,Home,W,6,1,Bournemouth,1.9,0.9,65.0,"53,358",Kyle Walker,3-4-3,5-4-1,Craig Pawson,Match Report,,04/11/2023,15:00,Premier League,Matchweek 11,Sat,Home,W,6,1,Bournemouth,6,21.0,8.0,38.1,0.29,0.75,16.4,0.0,0.0,0.0,1.9,1.9,0.09,4.1,4.1,Match Report
07/11/2023,20:00,Champions Lg,Group stage,Tue,Home,W,3,0,ch Young Boys,3.4,0.0,71.0,"51,049",Kyle Walker,3-2-4-1,5-4-1,Erik Lambrechts,Match Report,,07/11/2023,20:00,Champions Lg,Group stage,Tue,Home,W,3,0,ch Young Boys,3,26.0,8.0,30.8,0.08,0.25,16.1,1.0,1.0,1.0,3.4,2.6,0.11,-0.4,-0.6,Match Report
12/11/2023,16:30,Premier League,Matchweek 12,Sun,Away,D,4,4,Chelsea,2.9,2.9,55.0,"39,532",Kyle Walker,3-2-4-1,4-2-3-1,Anthony Taylor,Match Report,,12/11/2023,16:30,Premier League,Matchweek 12,Sun,Away,D,4,4,Chelsea,4,14.0,9.0,64.3,0.21,0.33,16.6,1.0,1.0,1.0,2.9,2.1,0.15,1.1,0.9,Match Report
25/11/2023,12:30,Premier League,Matchweek 13,Sat,Home,D,1,1,Liverpool,1.3,0.6,59.0,"53,289",Kyle Walker,3-2-4-1,4-3-3,Chris Kavanagh,Match Report,,25/11/2023,12:30,Premier League,Matchweek 13,Sat,Home,D,1,1,Liverpool,1,16.0,5.0,31.3,0.06,0.2,16.3,1.0,0.0,0.0,1.3,1.3,0.08,-0.3,-0.3,Match Report
28/11/2023,20:00,Champions Lg,Group stage,Tue,Home,W,3,2,de RB Leipzig,1.8,0.5,70.0,"51,402",Kyle Walker,3-2-4-1,5-4-1,Glenn Nyberg,Match Report,,28/11/2023,20:00,Champions Lg,Group stage,Tue,Home,W,3,2,de RB Leipzig,3,14.0,6.0,42.9,0.21,0.5,14.4,0.0,0.0,0.0,1.8,1.8,0.13,1.2,1.2,Match Report
03/12/2023,16:30,Premier League,Matchweek 14,Sun,Home,D,3,3,Tottenham,2.6,0.5,55.0,"53,473",Kyle Walker,3-2-4-1,4-2-3-1,Simon Hooper,Match Report,,03/12/2023,16:30,Premier League,Matchweek 14,Sun,Home,D,3,3,Tottenham,2,17.0,4.0,23.5,0.12,0.5,13.4,0.0,0.0,0.0,2.6,2.6,0.15,-0.6,-0.6,Match Report
06/12/2023,20:15,Premier League,Matchweek 15,Wed,Away,L,0,1,Aston Villa,0.6,2.3,54.0,"41,421",Kyle Walker,3-2-4-1,4-4-1-1,John Brooks,Match Report,,06/12/2023,20:15,Premier League,Matchweek 15,Wed,Away,L,0,1,Aston Villa,0,2.0,2.0,100.0,0.0,0.0,7.4,0.0,0.0,0.0,0.6,0.6,0.37,-0.6,-0.6,Match Report
10/12/2023,14:00,Premier League,Matchweek 16,Sun,Away,W,2,1,Luton Town,1.6,0.3,65.0,"11,047",Kyle Walker,4-2-3-1,3-4-3,Tim Robinson,Match Report,,10/12/2023,14:00,Premier League,Matchweek 16,Sun,Away,W,2,1,Luton Town,2,18.0,6.0,33.3,0.11,0.33,18.7,1.0,0.0,0.0,1.6,1.6,0.09,0.4,0.4,Match Report
13/12/2023,18:45 (17:45),Champions Lg,Group stage,Wed,Away,W,3,2,rs Red Star,1.4,1.1,68.0,"49,443",John Stones,4-2-3-1,5-3-2,?liyar A?ayev,Match Report,,13/12/2023,18:45 (17:45),Champions Lg,Group stage,Wed,Away,W,3,2,rs Red Star,3,9.0,2.0,22.2,0.22,1.0,19.2,0.0,1.0,1.0,1.4,0.6,0.06,1.6,1.4,Match Report
16/12/2023,15:00,Premier League,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,1.6,1.8,74.0,"53,248",Kyle Walker,4-2-3-1,5-4-1,Paul Tierney,Match Report,,16/12/2023,15:00,Premier League,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,2,19.0,9.0,47.4,0.11,0.22,18.2,0.0,0.0,0.0,1.6,1.6,0.08,0.4,0.4,Match Report
27/12/2023,20:15,Premier League,Matchweek 19,Wed,Away,W,3,1,Everton,2.4,1.0,72.0,"39,327",Kyle Walker,4-2-3-1,4-2-3-1,John Brooks,Match Report,,27/12/2023,20:15,Premier League,Matchweek 19,Wed,Away,W,3,1,Everton,3,22.0,8.0,36.4,0.09,0.25,19.5,1.0,1.0,1.0,2.4,1.8,0.09,0.6,0.2,Match Report
30/12/2023,15:00,Premier League,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,2.2,0.3,80.0,"53,108",Kyle Walker,4-2-3-1,3-4-3,David Coote,Match Report,,30/12/2023,15:00,Premier League,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,2,18.0,4.0,22.2,0.11,0.5,17.4,0.0,0.0,0.0,2.2,2.2,0.12,-0.2,-0.2,Match Report
07/01/2024,14:00,FA Cup,Third round proper,Sun,Home,W,5,0,Huddersfield,,,84.0,"51,939",Rúben Dias,4-2-3-1,5-4-1,Michael Salisbury,Match Report,,07/01/2024,14:00,FA Cup,Third round proper,Sun,Home,W,5,0,Huddersfield,4,18.0,7.0,38.9,0.22,0.57,,,0.0,0.0,,,,,,Match Report
13/01/2024,17:30,Premier League,Matchweek 21,Sat,Away,W,3,2,Newcastle Utd,3.0,1.3,72.0,"52,190",Kyle Walker,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,,13/01/2024,17:30,Premier League,Matchweek 21,Sat,Away,W,3,2,Newcastle Utd,3,27.0,11.0,40.7,0.11,0.27,19.3,2.0,0.0,0.0,3.0,3.0,0.11,0.0,0.0,Match Report
26/01/2024,20:00,FA Cup,Fourth round proper,Fri,Away,W,1,0,Tottenham,,,57.0,"60,872",Kyle Walker,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,26/01/2024,20:00,FA Cup,Fourth round proper,Fri,Away,W,1,0,Tottenham,1,18.0,5.0,27.8,0.06,0.2,,,0.0,0.0,,,,,,Match Report
31/01/2024,19:30,Premier League,Matchweek 22,Wed,Home,W,3,1,Burnley,1.7,1.4,74.0,"52,143",Kevin De Bruyne,4-2-3-1,4-4-2,Samuel Barrott,Match Report,,31/01/2024,19:30,Premier League,Matchweek 22,Wed,Home,W,3,1,Burnley,3,14.0,4.0,28.6,0.21,0.75,15.8,1.0,0.0,0.0,1.7,1.7,0.13,1.3,1.3,Match Report
05/02/2024,20:00,Premier League,Matchweek 23,Mon,Away,W,3,1,Brentford,2.1,1.0,72.0,"17,096",Kyle Walker,4-1-4-1,3-5-2,Jarred Gillett,Match Report,,05/02/2024,20:00,Premier League,Matchweek 23,Mon,Away,W,3,1,Brentford,3,25.0,15.0,60.0,0.12,0.2,19.2,0.0,0.0,0.0,2.1,2.1,0.08,0.9,0.9,Match Report
10/02/2024,12:30,Premier League,Matchweek 24,Sat,Home,W,2,0,Everton,1.6,0.3,72.0,"52,187",Rúben Dias,4-1-4-1,4-2-3-1,John Brooks,Match Report,,10/02/2024,12:30,Premier League,Matchweek 24,Sat,Home,W,2,0,Everton,2,19.0,3.0,15.8,0.11,0.67,17.4,0.0,0.0,0.0,1.6,1.6,0.09,0.4,0.4,Match Report
13/02/2024,21:00 (20:00),Champions Lg,Round of 16,Tue,Away,W,3,1,dk FC Copenhagen,3.3,0.3,79.0,"35,853",Kyle Walker,4-2-3-1,4-3-3,José Sánchez,Match Report,Leg 1 of 2,13/02/2024,21:00 (20:00),Champions Lg,Round of 16,Tue,Away,W,3,1,dk FC Copenhagen,3,27.0,12.0,44.4,0.11,0.25,17.4,4.0,0.0,0.0,3.3,3.3,0.13,-0.3,-0.3,Match Report
17/02/2024,17:30,Premier League,Matchweek 25,Sat,Home,D,1,1,Chelsea,2.6,1.4,70.0,"52,178",Kyle Walker,4-1-4-1,4-2-3-1,Andy Madley,Match Report,,17/02/2024,17:30,Premier League,Matchweek 25,Sat,Home,D,1,1,Chelsea,1,31.0,5.0,16.1,0.03,0.2,15.9,1.0,0.0,0.0,2.6,2.6,0.09,-1.6,-1.6,Match Report
20/02/2024,19:30,Premier League,Matchweek 18,Tue,Home,W,1,0,Brentford,2.3,0.4,70.0,"52,247",Kyle Walker,4-2-3-1,3-5-2,Darren England,Match Report,,20/02/2024,19:30,Premier League,Matchweek 18,Tue,Home,W,1,0,Brentford,1,25.0,10.0,40.0,0.04,0.1,17.6,0.0,0.0,0.0,2.3,2.3,0.1,-1.3,-1.3,Match Report
24/02/2024,17:30,Premier League,Matchweek 26,Sat,Away,W,1,0,Bournemouth,1.6,0.9,62.0,"11,184",Rúben Dias,3-2-4-1,4-2-3-1,Jarred Gillett,Match Report,,24/02/2024,17:30,Premier League,Matchweek 26,Sat,Away,W,1,0,Bournemouth,1,15.0,6.0,40.0,0.07,0.17,15.5,1.0,0.0,0.0,1.6,1.6,0.12,-0.6,-0.6,Match Report
27/02/2024,20:00,FA Cup,Fifth round proper,Tue,Away,W,6,2,Luton Town,,,58.0,"11,163",Kyle Walker,4-2-3-1,3-4-3,Anthony Taylor,Match Report,,27/02/2024,20:00,FA Cup,Fifth round proper,Tue,Away,W,6,2,Luton Town,6,17.0,15.0,88.2,0.35,0.4,,,0.0,0.0,,,,,,Match Report
03/03/2024,15:30,Premier League,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,3.3,0.2,73.0,"53,514",Kyle Walker,3-2-4-1,4-2-4-0,Andy Madley,Match Report,,03/03/2024,15:30,Premier League,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,3,27.0,8.0,29.6,0.11,0.38,17.7,1.0,0.0,0.0,3.3,3.3,0.12,-0.3,-0.3,Match Report
06/03/2024,20:00,Champions Lg,Round of 16,Wed,Home,W,3,1,dk FC Copenhagen,0.8,1.2,68.0,"51,531",Rúben Dias,4-2-3-1,3-4-3,Espen Eskås,Match Report,Leg 2 of 2; Manchester City won,06/03/2024,20:00,Champions Lg,Round of 16,Wed,Home,W,3,1,dk FC Copenhagen,3,12.0,3.0,25.0,0.25,1.0,14.8,0.0,0.0,0.0,0.8,0.8,0.06,2.2,2.2,Match Report
10/03/2024,15:45,Premier League,Matchweek 28,Sun,Away,D,1,1,Liverpool,1.6,2.7,47.0,"59,947",Kyle Walker,3-2-4-1,4-3-3,Michael Oliver,Match Report,,10/03/2024,15:45,Premier League,Matchweek 28,Sun,Away,D,1,1,Liverpool,1,10.0,6.0,60.0,0.1,0.17,18.6,0.0,0.0,0.0,1.6,1.6,0.16,-0.6,-0.6,Match Report
16/03/2024,17:30,FA Cup,Quarter-finals,Sat,Home,W,2,0,Newcastle Utd,,,72.0,"52,126",Kyle Walker,4-2-3-1,5-3-2,Simon Hooper,Match Report,,16/03/2024,17:30,FA Cup,Quarter-finals,Sat,Home,W,2,0,Newcastle Utd,2,16.0,5.0,31.3,0.13,0.4,,,0.0,0.0,,,,,,Match Report
31/03/2024,16:30,Premier League,Matchweek 30,Sun,Home,D,0,0,Arsenal,1.0,0.7,72.0,"52,178",Kevin De Bruyne,4-1-4-1,4-3-3,Anthony Taylor,Match Report,,31/03/2024,16:30,Premier League,Matchweek 30,Sun,Home,D,0,0,Arsenal,0,12.0,1.0,8.3,0.0,0.0,14.2,0.0,0.0,0.0,1.0,1.0,0.09,-1.0,-1.0,Match Report
03/04/2024,20:15,Premier League,Matchweek 31,Wed,Home,W,4,1,Aston Villa,3.4,0.8,67.0,"53,422",Rúben Dias,4-2-3-1,4-2-3-1,Darren England,Match Report,,03/04/2024,20:15,Premier League,Matchweek 31,Wed,Home,W,4,1,Aston Villa,4,25.0,11.0,44.0,0.16,0.36,15.9,2.0,0.0,0.0,3.4,3.4,0.14,0.6,0.6,Match Report
06/04/2024,12:30,Premier League,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,1.9,1.1,75.0,"25,132",Kevin De Bruyne,3-2-4-1,3-4-3,Paul Tierney,Match Report,,06/04/2024,12:30,Premier League,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,4,18.0,8.0,44.4,0.22,0.5,16.1,0.0,0.0,0.0,1.9,1.9,0.11,2.1,2.1,Match Report
09/04/2024,21:00 (20:00),Champions Lg,Quarter-finals,Tue,Away,D,3,3,es Real Madrid,0.8,0.7,61.0,"76,680",Rúben Dias,4-2-3-1,4-2-3-1,François Letexier,Match Report,Leg 1 of 2,09/04/2024,21:00 (20:00),Champions Lg,Quarter-finals,Tue,Away,D,3,3,es Real Madrid,3,12.0,6.0,50.0,0.25,0.5,19.7,2.0,0.0,0.0,0.8,0.8,0.07,2.2,2.2,Match Report
13/04/2024,15:00,Premier League,Matchweek 33,Sat,Home,W,5,1,Luton Town,4.2,0.5,73.0,"52,149",Kevin De Bruyne,4-2-3-1,3-4-3,John Brooks,Match Report,,13/04/2024,15:00,Premier League,Matchweek 33,Sat,Home,W,5,1,Luton Town,4,36.0,12.0,33.3,0.08,0.25,16.9,0.0,1.0,1.0,4.2,3.4,0.1,-0.2,-0.4,Match Report
17/04/2024,20:00,Champions Lg,Quarter-finals,Wed,Home,D,1 (3),1 (4),es Real Madrid,2.7,1.4,67.0,"52,306",Kyle Walker,4-1-4-1,4-2-3-1,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Real Madrid won on penalty kicks following extra time,17/04/2024,20:00,Champions Lg,Quarter-finals,Wed,Home,D,1 (3),1 (4),es Real Madrid,1,33.0,9.0,27.3,0.03,0.11,15.1,0.0,0.0,0.0,2.7,2.7,0.08,-1.7,-1.7,Match Report
20/04/2024,17:15,FA Cup,Semi-finals,Sat,Neutral,W,1,0,Chelsea,,,62.0,"80,902",Kyle Walker,3-2-4-1,4-2-3-1,Michael Oliver,Match Report,,20/04/2024,17:15,FA Cup,Semi-finals,Sat,Neutral,W,1,0,Chelsea,1,14.0,3.0,21.4,0.07,0.33,,,0.0,0.0,,,,,,Match Report
25/04/2024,20:00,Premier League,Matchweek 29,Thu,Away,W,4,0,Brighton,1.4,0.6,64.0,"31,596",Kyle Walker,4-1-4-1,4-2-3-1,Jarred Gillett,Match Report,,25/04/2024,20:00,Premier League,Matchweek 29,Thu,Away,W,4,0,Brighton,4,14.0,6.0,42.9,0.29,0.67,17.0,1.0,0.0,0.0,1.4,1.4,0.1,2.6,2.6,Match Report
28/04/2024,16:30,Premier League,Matchweek 35,Sun,Away,W,2,0,Nott'ham Forest,0.9,1.9,66.0,"29,677",Kyle Walker,4-1-4-1,5-4-1,Simon Hooper,Match Report,,28/04/2024,16:30,Premier League,Matchweek 35,Sun,Away,W,2,0,Nott'ham Forest,2,11.0,5.0,45.5,0.18,0.4,18.7,1.0,0.0,0.0,0.9,0.9,0.08,1.1,1.1,Match Report
04/05/2024,17:30,Premier League,Matchweek 36,Sat,Home,W,5,1,Wolves,3.7,0.3,58.0,"52,439",Kyle Walker,4-2-3-1,3-5-2,Craig Pawson,Match Report,,04/05/2024,17:30,Premier League,Matchweek 36,Sat,Home,W,5,1,Wolves,5,18.0,10.0,55.6,0.17,0.3,15.3,0.0,2.0,2.0,3.7,2.1,0.12,1.3,0.9,Match Report
11/05/2024,12:30,Premier League,Matchweek 37,Sat,Away,W,4,0,Fulham,3.2,0.1,64.0,"24,418",Kevin De Bruyne,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,11/05/2024,12:30,Premier League,Matchweek 37,Sat,Away,W,4,0,Fulham,4,15.0,8.0,53.3,0.2,0.38,17.6,0.0,1.0,1.0,3.2,2.4,0.16,0.8,0.6,Match Report
14/05/2024,20:00,Premier League,Matchweek 34,Tue,Away,W,2,0,Tottenham,2.4,1.7,47.0,"61,065",Kyle Walker,4-2-3-1,4-3-1-2,Chris Kavanagh,Match Report,,14/05/2024,20:00,Premier League,Matchweek 34,Tue,Away,W,2,0,Tottenham,2,7.0,4.0,57.1,0.14,0.25,14.5,0.0,1.0,1.0,2.4,1.6,0.23,-0.4,-0.6,Match Report
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,W,3,1,West Ham,1.9,0.4,71.0,"55,097",Kyle Walker,4-1-4-1,3-4-3,John Brooks,Match Report,,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,W,3,1,West Ham,3,28.0,12.0,42.9,0.11,0.25,17.9,2.0,0.0,0.0,1.9,1.9,0.07,1.1,1.1,Match Report
25/05/2024,15:00,FA Cup,Final,Sat,Neutral,L,1,2,Manchester Utd,,,74.0,"84,814",Kyle Walker,4-2-3-1,4-2-2-2,Andy Madley,Match Report,,25/05/2024,15:00,FA Cup,Final,Sat,Neutral,L,1,2,Manchester Utd,1,19.0,4.0,21.1,0.05,0.25,,,0.0,0.0,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,--,,,,139,1039,395,38,0.12,0.32,16.8,34.0,12.0,13.0,,,0.11,139.0,127.0,,139.0,127.0,
06/08/2023,16:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (4),1 (1),Manchester City,,,45.0,"81,145",Martin Ødegaard,4-3-3,4-2-3-1,Stuart Attwell,Match Report,,06/08/2023,16:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (4),1 (1),Manchester City,1,7.0,3.0,42.9,0.14,0.33,,,0.0,0.0,,,,,,Match Report
12/08/2023,12:30,Premier League,Matchweek 1,Sat,Home,W,2,1,Nott'ham Forest,0.8,1.2,78.0,"59,984",Martin Ødegaard,4-3-3,3-4-3,Michael Oliver,Match Report,,12/08/2023,12:30,Premier League,Matchweek 1,Sat,Home,W,2,1,Nott'ham Forest,2,15.0,7.0,46.7,0.13,0.29,19.1,0.0,0.0,0.0,0.8,0.8,0.06,1.2,1.2,Match Report
21/08/2023,20:00,Premier League,Matchweek 2,Mon,Away,W,1,0,Crystal Palace,2.0,1.0,53.0,"24,189",Martin Ødegaard,4-3-3,4-2-3-1,David Coote,Match Report,,21/08/2023,20:00,Premier League,Matchweek 2,Mon,Away,W,1,0,Crystal Palace,1,13.0,2.0,15.4,0.0,0.0,16.4,0.0,1.0,1.0,2.0,1.2,0.09,-1.0,-1.2,Match Report
26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,D,2,2,Fulham,3.2,0.6,71.0,"59,961",Martin Ødegaard,4-3-3,4-3-3,Paul Tierney,Match Report,,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,D,2,2,Fulham,2,18.0,9.0,50.0,0.06,0.11,13.8,0.0,1.0,1.0,3.2,2.4,0.14,-1.2,-1.4,Match Report
03/09/2023,16:30,Premier League,Matchweek 4,Sun,Home,W,3,1,Manchester Utd,2.3,0.9,55.0,"60,192",Martin Ødegaard,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,03/09/2023,16:30,Premier League,Matchweek 4,Sun,Home,W,3,1,Manchester Utd,3,17.0,5.0,29.4,0.18,0.6,15.0,0.0,0.0,0.0,2.3,2.3,0.13,0.7,0.7,Match Report
17/09/2023,16:30,Premier League,Matchweek 5,Sun,Away,W,1,0,Everton,1.0,0.3,74.0,"39,217",Martin Ødegaard,4-3-3,4-5-1,Simon Hooper,Match Report,,17/09/2023,16:30,Premier League,Matchweek 5,Sun,Away,W,1,0,Everton,1,13.0,4.0,30.8,0.08,0.25,17.4,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,Match Report
20/09/2023,20:00,Champions Lg,Group stage,Wed,Home,W,4,0,nl PSV Eindhoven,2.3,0.5,58.0,"58,860",Martin Ødegaard,4-3-3,4-2-3-1,Felix Zwayer,Match Report,,20/09/2023,20:00,Champions Lg,Group stage,Wed,Home,W,4,0,nl PSV Eindhoven,4,18.0,8.0,44.4,0.22,0.5,14.4,0.0,0.0,0.0,2.3,2.3,0.13,1.7,1.7,Match Report
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,D,2,2,Tottenham,1.8,1.4,47.0,"60,156",Martin Ødegaard,4-3-3,4-2-3-1,Robert Jones,Match Report,,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,D,2,2,Tottenham,1,12.0,4.0,33.3,0.0,0.0,16.9,0.0,1.0,1.0,1.8,1.2,0.1,-0.8,-1.2,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Away,W,1,0,Brentford,,,60.0,"16,688",Jorginho,4-3-3,3-5-2,Darren Bond,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Away,W,1,0,Brentford,1,10.0,3.0,30.0,0.1,0.33,,,0.0,0.0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,4,0,Bournemouth,3.4,0.6,57.0,"11,193",Martin Ødegaard,4-3-3,4-2-3-1,Michael Salisbury,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,4,0,Bournemouth,4,13.0,6.0,46.2,0.15,0.33,15.5,0.0,2.0,2.0,3.4,1.9,0.14,0.6,0.1,Match Report
