Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
26/12/2023,20:00,Premier League,Matchweek 19,Tue,Away,L,2,3,Manchester Utd,1.7,1.1,54,"73,574",John McGinn,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,26/12/2023,20:00,Premier League,Matchweek 19,Tue,Away,L,2,3,Manchester Utd,2,10,3,30,0.2,0.67,14.6,1,0,0,1.7,1.7,0.17,0.3,0.3,Match Report
30/12/2023,15:00,Premier League,Matchweek 20,Sat,Home,W,3,2,Burnley,3.2,1.2,64,"41,613",John McGinn,4-4-1-1,4-4-2,Stuart Attwell,Match Report,,30/12/2023,15:00,Premier League,Matchweek 20,Sat,Home,W,3,2,Burnley,3,18,6,33.3,0.11,0.33,16.9,1,1,1,3.2,2.4,0.14,-0.2,-0.4,Match Report
06/01/2024,17:30,FA Cup,Third round proper,Sat,Away,W,1,0,Middlesbrough,,,62,"25,022",John McGinn,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,06/01/2024,17:30,FA Cup,Third round proper,Sat,Away,W,1,0,Middlesbrough,1,12,6,50,0.08,0.17,,,0,0,,,,,,Match Report
14/01/2024,14:00,Premier League,Matchweek 21,Sun,Away,D,0,0,Everton,1.2,1.1,68,"39,284",John McGinn,4-4-2,4-2-3-1,David Coote,Match Report,,14/01/2024,14:00,Premier League,Matchweek 21,Sun,Away,D,0,0,Everton,0,16,4,25,0,0,14.2,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report
26/01/2024,19:45,FA Cup,Fourth round proper,Fri,Away,D,0,0,Chelsea,,,43,"39,325",John McGinn,4-4-2,4-2-3-1,Robert Jones,Match Report,,26/01/2024,19:45,FA Cup,Fourth round proper,Fri,Away,D,0,0,Chelsea,0,13,5,38.5,0,0,,,0,0,,,,,,Match Report
30/01/2024,20:15,Premier League,Matchweek 22,Tue,Home,L,1,3,Newcastle Utd,1.4,2.6,61,"42,191",John McGinn,4-4-2,4-3-3,John Brooks,Match Report,,30/01/2024,20:15,Premier League,Matchweek 22,Tue,Home,L,1,3,Newcastle Utd,1,12,5,41.7,0.08,0.2,14.3,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Match Report
03/02/2024,17:30,Premier League,Matchweek 23,Sat,Away,W,5,0,Sheffield Utd,2.2,1.4,63,"30,187",John McGinn,4-2-3-1,5-4-1,Paul Tierney,Match Report,,03/02/2024,17:30,Premier League,Matchweek 23,Sat,Away,W,5,0,Sheffield Utd,5,14,9,64.3,0.36,0.56,15.8,1,0,0,2.2,2.2,0.18,2.8,2.8,Match Report
07/02/2024,20:00,FA Cup,Fourth round proper,Wed,Home,L,1,3,Chelsea,,,49,"40,013",John McGinn,4-2-3-1,4-2-3-1,Thomas Bramall,Match Report,,07/02/2024,20:00,FA Cup,Fourth round proper,Wed,Home,L,1,3,Chelsea,1,15,5,33.3,0.07,0.2,,,0,0,,,,,,Match Report
11/02/2024,16:30,Premier League,Matchweek 24,Sun,Home,L,1,2,Manchester Utd,2.4,1.8,56,"42,185",John McGinn,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,11/02/2024,16:30,Premier League,Matchweek 24,Sun,Home,L,1,2,Manchester Utd,1,23,9,39.1,0.04,0.11,16.7,1,0,0,2.4,2.4,0.11,-1.4,-1.4,Match Report
17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,W,2,1,Fulham,1.5,1.5,48,"24,401",John McGinn,4-2-3-1,4-2-3-1,Lewis Smith,Match Report,,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,W,2,1,Fulham,2,12,3,25,0.17,0.67,16.8,1,0,0,1.5,1.5,0.13,0.5,0.5,Match Report
