Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,12:30,Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,1.2,0.8,22,"59,984",Joe Worrall,3-4-3,4-3-3,Michael Oliver,Match Report,,12/08/2023,12:30,Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,1,6,2,33.3,0.17,0.5,17.3,0,0,0,1.2,1.2,0.2,-0.2,-0.2,Match Report
18/08/2023,19:45,Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,1.4,0.5,50,"29,432",Joe Worrall,3-4-3,3-4-3,Peter Bankes,Match Report,,18/08/2023,19:45,Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,2,16,4,25,0.13,0.5,15.6,0,0,0,1.4,1.4,0.09,0.6,0.6,Match Report
26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,1.2,2.8,34,"73,595",Joe Worrall,3-4-3,4-2-3-1,Stuart Attwell,Match Report,,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,2,9,4,44.4,0.22,0.5,14.7,0,0,0,1.2,1.2,0.13,0.8,0.8,Match Report
30/08/2023,19:45,EFL Cup,Second round,Wed,Home,L,0,1,Burnley,,,40,"27,766",Ryan Yates,5-3-2,4-3-3,Robert Madley,Match Report,,30/08/2023,19:45,EFL Cup,Second round,Wed,Home,L,0,1,Burnley,0,7,0,0,0,,,,0,0,,,,,,Match Report
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,0.8,2.3,25,"39,820",Joe Worrall,3-4-3,3-4-3,Tim Robinson,Match Report,,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,1,7,3,42.9,0.14,0.33,19,0,0,0,0.8,0.8,0.11,0.2,0.2,Match Report
18/09/2023,19:45,Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,0.7,0.5,46,"28,958",Joe Worrall,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,18/09/2023,19:45,Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,1,14,4,28.6,0.07,0.25,18.8,0,0,0,0.7,0.7,0.05,0.3,0.3,Match Report
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,1,1.3,43,"53,413",Serge Aurier,5-4-1,4-2-3-1,Anthony Taylor,Match Report,,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,0,10,3,30,0,0,17.8,1,0,0,1,1,0.1,-1,-1,Match Report
01/10/2023,14:00,Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,0.5,1.6,41,"29,004",Serge Aurier,4-3-3,4-3-3,Paul Tierney,Match Report,,01/10/2023,14:00,Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,1,6,1,16.7,0.17,1,15.4,0,0,0,0.5,0.5,0.08,0.5,0.5,Match Report
07/10/2023,17:30,Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,1,0.8,48,"25,017",Serge Aurier,4-3-3,4-3-3,Craig Pawson,Match Report,,07/10/2023,17:30,Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,0,16,5,31.3,0,0,18.4,0,0,0,1,1,0.07,-1,-1,Match Report
21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,2.9,1.7,57,"29,361",Serge Aurier,4-3-3,4-4-2,Samuel Barrott,Match Report,,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,2,19,8,42.1,0.11,0.25,11.1,0,0,0,2.9,2.9,0.16,-0.9,-0.9,Match Report
29/10/2023,14:00,Premier League,Matchweek 10,Sun,Away,L,0,3,Liverpool,0.4,3.2,28,"50,143",Serge Aurier,5-4-1,4-3-3,Chris Kavanagh,Match Report,,29/10/2023,14:00,Premier League,Matchweek 10,Sun,Away,L,0,3,Liverpool,0,9,1,11.1,0,0,15.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
05/11/2023,14:00,Premier League,Matchweek 11,Sun,Home,W,2,0,Aston Villa,0.4,1.2,27,"29,313",Morgan Gibbs-White,4-3-3,4-4-2,Jarred Gillett,Match Report,,05/11/2023,14:00,Premier League,Matchweek 11,Sun,Home,W,2,0,Aston Villa,2,5,3,60,0.4,0.67,21.1,0,0,0,0.4,0.4,0.08,1.6,1.6,Match Report
12/11/2023,14:00,Premier League,Matchweek 12,Sun,Away,L,2,3,West Ham,1.7,1.8,46,"62,470",Morgan Gibbs-White,4-3-3,4-2-3-1,Michael Salisbury,Match Report,,12/11/2023,14:00,Premier League,Matchweek 12,Sun,Away,L,2,3,West Ham,2,10,5,50,0.2,0.4,15.6,0,0,0,1.7,1.7,0.18,0.3,0.3,Match Report
25/11/2023,15:00,Premier League,Matchweek 13,Sat,Home,L,2,3,Brighton,1.9,1.3,47,"29,404",Morgan Gibbs-White,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Home,L,2,3,Brighton,2,17,4,23.5,0.06,0.25,14.7,0,1,1,1.9,1.1,0.07,0.1,-0.1,Match Report
02/12/2023,17:30,Premier League,Matchweek 14,Sat,Home,L,0,1,Everton,0.7,0.7,61,"29,404",Ryan Yates,4-3-3,4-4-1-1,Paul Tierney,Match Report,,02/12/2023,17:30,Premier League,Matchweek 14,Sat,Home,L,0,1,Everton,0,13,2,15.4,0,0,16.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
06/12/2023,19:30,Premier League,Matchweek 15,Wed,Away,L,0,5,Fulham,0.3,2.5,37,"24,105",Felipe,4-2-3-1,4-2-3-1,Joshua Smith,Match Report,,06/12/2023,19:30,Premier League,Matchweek 15,Wed,Away,L,0,5,Fulham,0,4,1,25,0,0,15.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report
09/12/2023,15:00,Premier League,Matchweek 16,Sat,Away,D,1,1,Wolves,1.3,1.2,32,"31,543",Ryan Yates,3-5-2,3-4-3,Samuel Barrott,Match Report,,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Away,D,1,1,Wolves,1,8,2,25,0.13,0.5,12.7,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Match Report
15/12/2023,20:00,Premier League,Matchweek 17,Fri,Home,L,0,2,Tottenham,1.3,1.5,34,"29,296",Ryan Yates,3-5-2,4-2-3-1,Jarred Gillett,Match Report,,15/12/2023,20:00,Premier League,Matchweek 17,Fri,Home,L,0,2,Tottenham,0,15,1,6.7,0,0,16.1,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Match Report
23/12/2023,15:00,Premier League,Matchweek 18,Sat,Home,L,2,3,Bournemouth,1,1.6,34,"29,188",Ryan Yates,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Home,L,2,3,Bournemouth,2,11,4,36.4,0.18,0.5,14.5,0,0,0,1,1,0.09,1,1,Match Report
26/12/2023,12:30,Premier League,Matchweek 19,Tue,Away,W,3,1,Newcastle Utd,3.5,2.4,38,"52,207",Morgan Gibbs-White,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,,26/12/2023,12:30,Premier League,Matchweek 19,Tue,Away,W,3,1,Newcastle Utd,3,15,6,40,0.2,0.5,15.8,0,0,0,3.5,3.5,0.23,-0.5,-0.5,Match Report
30/12/2023,17:30,Premier League,Matchweek 20,Sat,Home,W,2,1,Manchester Utd,0.7,0.8,44,"29,529",Ryan Yates,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,30/12/2023,17:30,Premier League,Matchweek 20,Sat,Home,W,2,1,Manchester Utd,2,8,2,25,0.25,1,18.3,0,0,0,0.7,0.7,0.09,1.3,1.3,Match Report
07/01/2024,14:00,FA Cup,Third round proper,Sun,Home,D,2,2,Blackpool,,,71,"27,909",Joe Worrall,4-2-3-1,3-4-3,Sunny Gill,Match Report,,07/01/2024,14:00,FA Cup,Third round proper,Sun,Home,D,2,2,Blackpool,2,17,6,35.3,0.12,0.33,,,0,0,,,,,,Match Report
17/01/2024,19:45,FA Cup,Third round proper,Wed,Away,W,3,2,Blackpool,,,62,"8,098",Ryan Yates,4-2-3-1,3-4-3,Darren Bond,Match Report,Required Extra Time,17/01/2024,19:45,FA Cup,Third round proper,Wed,Away,W,3,2,Blackpool,3,27,8,29.6,0.11,0.38,,,0,0,,,,,,Match Report
20/01/2024,17:30,Premier League,Matchweek 21,Sat,Away,L,2,3,Brentford,1.2,1.2,52,"17,077",Ryan Yates,4-2-3-1,3-5-2,Darren England,Match Report,,20/01/2024,17:30,Premier League,Matchweek 21,Sat,Away,L,2,3,Brentford,2,12,3,25,0.17,0.67,20.5,0,0,0,1.2,1.2,0.1,0.8,0.8,Match Report
26/01/2024,19:45,FA Cup,Fourth round proper,Fri,Away,D,0,0,Bristol City,,,50,"25,787",Ryan Yates,4-2-3-1,3-4-3,Stuart Attwell,Match Report,,26/01/2024,19:45,FA Cup,Fourth round proper,Fri,Away,D,0,0,Bristol City,0,7,2,28.6,0,0,,,0,0,,,,,,Match Report
