Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,2.7,58,"39,940",Tom Cairney,4-3-3,4-4-1-1,Stuart Attwell,Match Report,,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,1,9,2,22.2,0.11,0.5,13.2,0,0,0,1.5,1.5,0.17,-0.5,-0.5,Match Report
19/08/2023,15:00,Premier League,Matchweek 2,Sat,Home,L,0,3,Brentford,0.5,3.7,55,"24,236",Tim Ream,4-3-3,4-3-3,Darren Bond,Match Report,,19/08/2023,15:00,Premier League,Matchweek 2,Sat,Home,L,0,3,Brentford,0,10,2,20,0,0,22.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,D,2,2,Arsenal,0.6,3.2,29,"59,961",Bobby De Cordova-Reid,4-3-3,4-3-3,Paul Tierney,Match Report,,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,D,2,2,Arsenal,2,8,3,37.5,0.25,0.67,17.8,0,0,0,0.6,0.6,0.07,1.4,1.4,Match Report
29/08/2023,19:45,EFL Cup,Second round,Tue,Home,D,1 (5),1 (3),Tottenham,,,40,"21,043",Tom Cairney,4-2-3-1,4-4-1-1,Joshua Smith,Match Report,Fulham won on penalty kicks following extra time,29/08/2023,19:45,EFL Cup,Second round,Tue,Home,D,1 (5),1 (3),Tottenham,0,14,3,21.4,0,0,,,0,0,,,,,,Match Report
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,L,1,5,Manchester City,1.4,2.2,32,"52,899",Tom Cairney,4-3-3,4-2-3-1,Michael Oliver,Match Report,,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,L,1,5,Manchester City,1,6,4,66.7,0.17,0.25,11.4,0,0,0,1.4,1.4,0.31,-0.4,-0.4,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,1,0,Luton Town,1,1.1,77,"24,467",Tim Ream,4-3-3,5-3-2,Michael Salisbury,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,1,0,Luton Town,1,13,2,15.4,0.08,0.5,19.5,2,0,0,1,1,0.07,0,0,Match Report
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,D,0,0,Crystal Palace,0.6,0.3,49,"25,072",Tim Ream,4-3-3,4-2-3-1,Paul Tierney,Match Report,,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,D,0,0,Crystal Palace,0,10,5,50,0,0,18.7,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Home,W,2,1,Norwich City,,,69,"12,831",Tom Cairney,4-3-3,4-2-3-1,Craig Pawson,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Home,W,2,1,Norwich City,2,19,3,15.8,0.11,0.67,,,0,0,,,,,,Match Report
02/10/2023,20:00,Premier League,Matchweek 7,Mon,Home,L,0,2,Chelsea,1.1,1.7,56,"24,445",Tim Ream,4-3-3,4-3-3,Tim Robinson,Match Report,,02/10/2023,20:00,Premier League,Matchweek 7,Mon,Home,L,0,2,Chelsea,0,10,3,30,0,0,13.2,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Match Report
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,3,1,Sheffield Utd,2.2,0.6,60,"24,361",Tim Ream,4-3-3,3-5-2,Samuel Barrott,Match Report,,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,3,1,Sheffield Utd,2,20,6,30,0.1,0.33,20.2,0,0,0,2.2,2.2,0.11,-0.2,-0.2,Match Report
23/10/2023,20:00,Premier League,Matchweek 9,Mon,Away,L,0,2,Tottenham,1,1.5,45,"61,286",Tim Ream,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,23/10/2023,20:00,Premier League,Matchweek 9,Mon,Away,L,0,2,Tottenham,0,10,3,30,0,0,17.6,0,0,0,1,1,0.1,-1,-1,Match Report
