Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2023,20:00,Premier League,Matchweek 1,Mon,Away,L,0,1,Manchester Utd,2.2,2.2,49,"73,358",Max Kilman,4-4-2,4-1-4-1,Simon Hooper,Match Report,,14/08/2023,20:00,Premier League,Matchweek 1,Mon,Away,L,0,1,Manchester Utd,0,23,6,26.1,0,0,15.3,0,0,0,2.2,2.2,0.1,-2.2,-2.2,Match Report
19/08/2023,15:00,Premier League,Matchweek 2,Sat,Home,L,1,4,Brighton,2.1,2.2,47,"31,317",Max Kilman,4-4-1-1,4-2-3-1,Andy Madley,Match Report,,19/08/2023,15:00,Premier League,Matchweek 2,Sat,Home,L,1,4,Brighton,1,16,5,31.3,0.06,0.2,16.1,0,0,0,2.1,2.1,0.15,-1.1,-1.1,Match Report
26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,W,1,0,Everton,1.1,1.3,53,"38,851",Max Kilman,4-4-1-1,4-1-4-1,Craig Pawson,Match Report,,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,W,1,0,Everton,1,11,2,18.2,0.09,0.5,17.8,1,0,0,1.1,1.1,0.1,-0.1,-0.1,Match Report
29/08/2023,19:45,EFL Cup,Second round,Tue,Home,W,5,0,Blackpool,,,72,"20,605",Max Kilman,3-5-2,3-5-2,Jarred Gillett,Match Report,,29/08/2023,19:45,EFL Cup,Second round,Tue,Home,W,5,0,Blackpool,5,13,9,69.2,0.38,0.56,,,0,0,,,,,,Match Report
03/09/2023,14:00,Premier League,Matchweek 4,Sun,Away,L,2,3,Crystal Palace,1.2,2.1,57,"24,741",Max Kilman,4-4-2,4-3-3,Robert Jones,Match Report,,03/09/2023,14:00,Premier League,Matchweek 4,Sun,Away,L,2,3,Crystal Palace,2,12,4,33.3,0.17,0.5,16.2,0,0,0,1.2,1.2,0.1,0.8,0.8,Match Report
16/09/2023,12:30,Premier League,Matchweek 5,Sat,Home,L,1,3,Liverpool,0.6,2.5,35,"31,257",Max Kilman,4-2-3-1,4-3-3,Michael Oliver,Match Report,,16/09/2023,12:30,Premier League,Matchweek 5,Sat,Home,L,1,3,Liverpool,1,11,2,18.2,0.09,0.5,18.7,0,0,0,0.6,0.6,0.06,0.4,0.4,Match Report
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,D,1,1,Luton Town,0.6,2.1,43,"10,893",Max Kilman,4-2-3-1,3-4-3,Joshua Smith,Match Report,,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,D,1,1,Luton Town,1,3,3,100,0.33,0.33,7,0,0,0,0.6,0.6,0.21,0.4,0.4,Match Report
26/09/2023,19:45,EFL Cup,Third round,Tue,Away,L,2,3,Ipswich Town,,,57,"20,236",Daniel Bentley,3-4-3,4-2-3-1,Samuel Barrott,Match Report,,26/09/2023,19:45,EFL Cup,Third round,Tue,Away,L,2,3,Ipswich Town,2,13,3,23.1,0.15,0.67,,,0,0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,1,Manchester City,0.4,0.9,32,"31,415",Max Kilman,3-4-3,4-2-3-1,Craig Pawson,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,1,Manchester City,1,3,1,33.3,0.33,1,11.4,0,0,0,0.4,0.4,0.16,0.6,0.6,Match Report
08/10/2023,14:00,Premier League,Matchweek 8,Sun,Home,D,1,1,Aston Villa,1.7,1.6,47,"31,425",Max Kilman,3-4-3,4-4-2,Robert Jones,Match Report,,08/10/2023,14:00,Premier League,Matchweek 8,Sun,Home,D,1,1,Aston Villa,1,8,3,37.5,0.13,0.33,16,0,0,0,1.7,1.7,0.21,-0.7,-0.7,Match Report
