Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
21/01/2024,14:00,Premier League,Matchweek 21,Sun,Away,D,2,2,Sheffield Utd,2.3,2.5,43,"29,164",Kurt Zouma,4-4-1-1,4-1-4-1,Michael Salisbury,Match Report,,21/01/2024,14:00,Premier League,Matchweek 21,Sun,Away,D,2,2,Sheffield Utd,2,15,4,26.7,0.07,0.25,14.9,0,1,1,2.3,1.5,0.1,-0.3,-0.5,Match Report
01/02/2024,19:30,Premier League,Matchweek 22,Thu,Home,D,1,1,Bournemouth,1.4,1.2,48,"62,478",Kurt Zouma,4-3-2-1,4-2-3-1,Tim Robinson,Match Report,,01/02/2024,19:30,Premier League,Matchweek 22,Thu,Home,D,1,1,Bournemouth,1,8,2,25,0,0,17.1,0,1,1,1.4,0.6,0.07,-0.4,-0.6,Match Report
04/02/2024,14:00,Premier League,Matchweek 23,Sun,Away,L,0,3,Manchester Utd,1.4,0.7,49,"73,612",Kurt Zouma,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,04/02/2024,14:00,Premier League,Matchweek 23,Sun,Away,L,0,3,Manchester Utd,0,22,3,13.6,0,0,18.9,1,0,0,1.4,1.4,0.06,-1.4,-1.4,Match Report
11/02/2024,14:00,Premier League,Matchweek 24,Sun,Home,L,0,6,Arsenal,0.2,3.6,30,"62,475",Kurt Zouma,4-2-3-1,4-3-3,Craig Pawson,Match Report,,11/02/2024,14:00,Premier League,Matchweek 24,Sun,Home,L,0,6,Arsenal,0,5,1,20,0,0,19.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report
17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,L,0,2,Nott'ham Forest,0.5,2.8,51,"29,490",Kurt Zouma,4-2-3-1,4-2-3-1,Thomas Bramall,Match Report,,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,L,0,2,Nott'ham Forest,0,10,3,30,0,0,18.9,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
26/02/2024,20:00,Premier League,Matchweek 26,Mon,Home,W,4,2,Brentford,1.7,0.9,41,"62,450",Kurt Zouma,4-2-3-1,3-5-2,Simon Hooper,Match Report,,26/02/2024,20:00,Premier League,Matchweek 26,Mon,Home,W,4,2,Brentford,4,17,6,35.3,0.24,0.67,17.7,0,0,0,1.7,1.7,0.1,2.3,2.3,Match Report
02/03/2024,15:00,Premier League,Matchweek 27,Sat,Away,W,3,1,Everton,1.9,2.7,45,"39,262",Kurt Zouma,4-2-3-1,4-4-1-1,Craig Pawson,Match Report,,02/03/2024,15:00,Premier League,Matchweek 27,Sat,Away,W,3,1,Everton,3,12,5,41.7,0.25,0.6,14.2,0,0,0,1.9,1.9,0.16,1.1,1.1,Match Report
07/03/2024,21:00 (20:00),Europa Lg,Round of 16,Thu,Away,L,0,1,de Freiburg,1.4,1.5,42,"34,700",Kurt Zouma,4-2-3-1,4-1-4-1,Alejandro Hernández,Match Report,Leg 1 of 2,07/03/2024,21:00 (20:00),Europa Lg,Round of 16,Thu,Away,L,0,1,de Freiburg,0,15,4,26.7,0,0,16.6,1,0,0,1.4,1.4,0.1,-1.4,-1.4,Match Report
10/03/2024,14:00,Premier League,Matchweek 28,Sun,Home,D,2,2,Burnley,2.1,0.7,52,"62,441",Tomáš Sou?ek,4-2-3-1,4-4-2,Darren England,Match Report,,10/03/2024,14:00,Premier League,Matchweek 28,Sun,Home,D,2,2,Burnley,2,22,4,18.2,0.09,0.5,14.8,0,0,0,2.1,2.1,0.1,-0.1,-0.1,Match Report
14/03/2024,17:45,Europa Lg,Round of 16,Thu,Home,W,5,0,de Freiburg,2.1,0.3,40,"51,014",Kurt Zouma,4-2-3-1,4-2-2-2,Marco Guida,Match Report,Leg 2 of 2; West Ham won,14/03/2024,17:45,Europa Lg,Round of 16,Thu,Home,W,5,0,de Freiburg,5,11,7,63.6,0.45,0.71,11.2,0,0,0,2.1,2.1,0.2,2.9,2.9,Match Report
