Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
02/12/2023,15:00,Premier League,Matchweek 14,Sat,Home,W,5,0,Sheffield Utd,1.8,0.4,63,"21,478",Josh Brownhill,4-4-2,3-4-3,Chris Kavanagh,Match Report,,02/12/2023,15:00,Premier League,Matchweek 14,Sat,Home,W,5,0,Sheffield Utd,5,19,7,36.8,0.26,0.71,15.9,0,0,0,1.8,1.8,0.1,3.2,3.2,Match Report
05/12/2023,19:30,Premier League,Matchweek 15,Tue,Away,L,0,1,Wolves,0.9,0.8,49,"30,439",Josh Brownhill,4-4-2,3-4-3,Jarred Gillett,Match Report,,05/12/2023,19:30,Premier League,Matchweek 15,Tue,Away,L,0,1,Wolves,0,12,3,25,0,0,21.9,2,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
09/12/2023,15:00,Premier League,Matchweek 16,Sat,Away,D,1,1,Brighton,0.6,2.6,28,"31,511",Josh Brownhill,4-4-2,4-2-3-1,Simon Hooper,Match Report,,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Away,D,1,1,Brighton,1,6,3,50,0.17,0.33,12.9,0,0,0,0.6,0.6,0.1,0.4,0.4,Match Report
16/12/2023,17:30,Premier League,Matchweek 17,Sat,Home,L,0,2,Everton,0.7,1.4,61,"21,413",Josh Brownhill,4-4-2,5-4-1,Anthony Taylor,Match Report,,16/12/2023,17:30,Premier League,Matchweek 17,Sat,Home,L,0,2,Everton,0,14,2,14.3,0,0,18.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
23/12/2023,15:00,Premier League,Matchweek 18,Sat,Away,W,2,0,Fulham,0.4,1.3,34,"23,598",Josh Brownhill,4-4-2,4-2-3-1,Rebecca Welch,Match Report,,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Away,W,2,0,Fulham,2,7,2,28.6,0.29,1,19.5,0,0,0,0.4,0.4,0.05,1.6,1.6,Match Report
26/12/2023,17:30,Premier League,Matchweek 19,Tue,Home,L,0,2,Liverpool,0.8,1.8,32,"21,624",Josh Brownhill,4-4-2,4-3-3,Paul Tierney,Match Report,,26/12/2023,17:30,Premier League,Matchweek 19,Tue,Home,L,0,2,Liverpool,0,9,0,0,0,,16.7,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report
30/12/2023,15:00,Premier League,Matchweek 20,Sat,Away,L,2,3,Aston Villa,1.2,3.2,36,"41,613",Josh Brownhill,4-4-2,4-4-1-1,Stuart Attwell,Match Report,,30/12/2023,15:00,Premier League,Matchweek 20,Sat,Away,L,2,3,Aston Villa,2,9,5,55.6,0.22,0.4,15.4,0,0,0,1.2,1.2,0.13,0.8,0.8,Match Report
05/01/2024,20:00,FA Cup,Third round proper,Fri,Away,L,0,1,Tottenham,,,37,"60,982",Josh Cullen,4-4-2,4-2-3-1,Samuel Barrott,Match Report,,05/01/2024,20:00,FA Cup,Third round proper,Fri,Away,L,0,1,Tottenham,0,10,1,10,0,0,,,0,0,,,,,,Match Report
12/01/2024,19:45,Premier League,Matchweek 21,Fri,Home,D,1,1,Luton Town,1.1,0.9,39,"20,155",Josh Brownhill,4-4-2,3-4-3,Tony Harrington,Match Report,,12/01/2024,19:45,Premier League,Matchweek 21,Fri,Home,D,1,1,Luton Town,1,13,7,53.8,0.08,0.14,18.8,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
31/01/2024,19:30,Premier League,Matchweek 22,Wed,Away,L,1,3,Manchester City,1.4,1.7,26,"52,143",Josh Brownhill,4-4-2,4-2-3-1,Samuel Barrott,Match Report,,31/01/2024,19:30,Premier League,Matchweek 22,Wed,Away,L,1,3,Manchester City,1,8,3,37.5,0.13,0.33,14.7,0,0,0,1.4,1.4,0.18,-0.4,-0.4,Match Report
03/02/2024,15:00,Premier League,Matchweek 23,Sat,Home,D,2,2,Fulham,1.8,1.5,44,"20,203",Josh Brownhill,4-4-2,4-2-3-1,Darren Bond,Match Report,,03/02/2024,15:00,Premier League,Matchweek 23,Sat,Home,D,2,2,Fulham,2,12,4,33.3,0.17,0.5,15.4,0,0,0,1.8,1.8,0.15,0.2,0.2,Match Report
10/02/2024,15:00,Premier League,Matchweek 24,Sat,Away,L,1,3,Liverpool,1.3,2.8,30,"59,896",Josh Brownhill,4-4-2,4-3-3,Tim Robinson,Match Report,,10/02/2024,15:00,Premier League,Matchweek 24,Sat,Away,L,1,3,Liverpool,1,9,4,44.4,0.11,0.25,17.6,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Match Report
17/02/2024,15:00,Premier League,Matchweek 25,Sat,Home,L,0,5,Arsenal,0.3,2.3,36,"21,311",Josh Brownhill,4-4-2,4-3-3,Jarred Gillett,Match Report,,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Home,L,0,5,Arsenal,0,8,0,0,0,,18.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
24/02/2024,15:00,Premier League,Matchweek 26,Sat,Away,L,0,3,Crystal Palace,0.1,2.4,44,"24,042",Josh Brownhill,4-4-2,3-4-3,Lewis Smith,Match Report,,24/02/2024,15:00,Premier League,Matchweek 26,Sat,Away,L,0,3,Crystal Palace,0,2,0,0,0,,12,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report
03/03/2024,13:00,Premier League,Matchweek 27,Sun,Home,L,0,2,Bournemouth,1.5,1.1,74,"19,713",Josh Cullen,4-4-2,4-2-3-1,David Coote,Match Report,,03/03/2024,13:00,Premier League,Matchweek 27,Sun,Home,L,0,2,Bournemouth,0,20,5,25,0,0,18.9,1,0,0,1.5,1.5,0.08,-1.5,-1.5,Match Report
10/03/2024,14:00,Premier League,Matchweek 28,Sun,Away,D,2,2,West Ham,0.7,2.1,48,"62,441",Josh Cullen,4-4-2,4-2-3-1,Darren England,Match Report,,10/03/2024,14:00,Premier League,Matchweek 28,Sun,Away,D,2,2,West Ham,1,11,4,36.4,0.09,0.25,24.8,1,0,0,0.7,0.7,0.06,0.3,0.3,Match Report
16/03/2024,15:00,Premier League,Matchweek 29,Sat,Home,W,2,1,Brentford,2.8,1.1,60,"20,431",Josh Cullen,4-4-2,3-5-2,Darren Bond,Match Report,,16/03/2024,15:00,Premier League,Matchweek 29,Sat,Home,W,2,1,Brentford,2,16,5,31.3,0.06,0.2,19.2,0,1,1,2.8,2,0.12,-0.8,-1,Match Report
30/03/2024,15:00,Premier League,Matchweek 30,Sat,Away,D,2,2,Chelsea,1.6,4.2,31,"39,535",Josh Cullen,4-4-2,4-2-3-1,Darren England,Match Report,,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Away,D,2,2,Chelsea,2,18,6,33.3,0.11,0.33,14.4,2,0,0,1.6,1.6,0.1,0.4,0.4,Match Report
02/04/2024,19:45,Premier League,Matchweek 31,Tue,Home,D,1,1,Wolves,1.3,0.9,51,"21,528",Josh Cullen,4-4-2,4-4-1-1,Thomas Bramall,Match Report,,02/04/2024,19:45,Premier League,Matchweek 31,Tue,Home,D,1,1,Wolves,1,13,6,46.2,0.08,0.17,18.4,0,0,0,1.3,1.3,0.1,-0.3,-0.3,Match Report
06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,L,0,1,Everton,0.5,0.9,62,"39,125",Josh Cullen,4-4-2,4-4-1-1,Michael Oliver,Match Report,,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,L,0,1,Everton,0,6,1,16.7,0,0,16.5,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
13/04/2024,15:00,Premier League,Matchweek 33,Sat,Home,D,1,1,Brighton,1.7,0.9,44,"20,687",Josh Cullen,4-4-2,4-2-3-1,Simon Hooper,Match Report,,13/04/2024,15:00,Premier League,Matchweek 33,Sat,Home,D,1,1,Brighton,1,11,3,27.3,0.09,0.33,17.1,0,0,0,1.7,1.7,0.16,-0.7,-0.7,Match Report
20/04/2024,15:00,Premier League,Matchweek 34,Sat,Away,W,4,1,Sheffield Utd,2.2,2.4,51,"28,964",Josh Cullen,4-4-2,4-2-3-1,Andy Madley,Match Report,,20/04/2024,15:00,Premier League,Matchweek 34,Sat,Away,W,4,1,Sheffield Utd,4,16,9,56.3,0.25,0.44,16,0,0,0,2.2,2.2,0.14,1.8,1.8,Match Report
27/04/2024,15:00,Premier League,Matchweek 35,Sat,Away,D,1,1,Manchester Utd,2.1,2.7,52,"73,571",Josh Cullen,4-4-2,4-2-3-1,John Brooks,Match Report,,27/04/2024,15:00,Premier League,Matchweek 35,Sat,Away,D,1,1,Manchester Utd,1,15,6,40,0,0,19.3,1,1,1,2.1,1.3,0.08,-1.1,-1.3,Match Report
04/05/2024,15:00,Premier League,Matchweek 36,Sat,Home,L,1,4,Newcastle Utd,1,3.4,47,"21,781",Josh Brownhill,4-2-3-1,4-4-2,Anthony Taylor,Match Report,,04/05/2024,15:00,Premier League,Matchweek 36,Sat,Home,L,1,4,Newcastle Utd,1,17,5,29.4,0.06,0.2,18.2,0,0,0,1,1,0.06,0,0,Match Report
11/05/2024,15:00,Premier League,Matchweek 37,Sat,Away,L,1,2,Tottenham,0.7,2.7,37,"61,148",Josh Cullen,4-4-2,4-3-3,Jarred Gillett,Match Report,,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Away,L,1,2,Tottenham,1,7,3,42.9,0.14,0.33,11.8,0,0,0,0.7,0.7,0.1,0.3,0.3,Match Report
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,1,2,Nott'ham Forest,1.2,1.7,72,"21,109",Josh Cullen,4-4-2,4-2-3-1,Graham Scott,Match Report,,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,1,2,Nott'ham Forest,1,20,3,15,0.05,0.33,22.4,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,45,469,149,31.8,0.09,0.28,17.7,13,3,3,,,0.09,45,42,
