Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
30/01/2024,19:30,Premier League,Matchweek 22,Tue,Away,W,2,1,Nott'ham Forest,1.2,0.5,73,"29,387",Martin Ødegaard,4-3-3,4-2-3-1,Simon Hooper,Match Report,,30/01/2024,19:30,Premier League,Matchweek 22,Tue,Away,W,2,1,Nott'ham Forest,2,19,3,15.8,0.11,0.67,17.6,0,0,0,1.2,1.2,0.06,0.8,0.8,Match Report
04/02/2024,16:30,Premier League,Matchweek 23,Sun,Home,W,3,1,Liverpool,3.5,0.4,43,"60,374",Martin Ødegaard,4-3-3,4-3-3,Anthony Taylor,Match Report,,04/02/2024,16:30,Premier League,Matchweek 23,Sun,Home,W,3,1,Liverpool,3,15,7,46.7,0.2,0.43,14.2,0,0,0,3.5,3.5,0.25,-0.5,-0.5,Match Report
11/02/2024,14:00,Premier League,Matchweek 24,Sun,Away,W,6,0,West Ham,3.6,0.2,70,"62,475",Martin Ødegaard,4-3-3,4-2-3-1,Craig Pawson,Match Report,,11/02/2024,14:00,Premier League,Matchweek 24,Sun,Away,W,6,0,West Ham,6,24,11,45.8,0.21,0.45,16,0,1,1,3.6,2.8,0.12,2.4,2.2,Match Report
17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,W,5,0,Burnley,2.3,0.3,64,"21,311",Martin Ødegaard,4-3-3,4-4-2,Jarred Gillett,Match Report,,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,W,5,0,Burnley,5,15,6,40,0.27,0.67,16.8,1,1,1,2.3,1.5,0.1,2.7,2.5,Match Report
21/02/2024,20:00,Champions Lg,Round of 16,Wed,Away,L,0,1,pt Porto,0.4,1,64,"49,111",Martin Ødegaard,4-3-3,4-2-3-1,Serdar Gözübüyük,Match Report,Leg 1 of 2,21/02/2024,20:00,Champions Lg,Round of 16,Wed,Away,L,0,1,pt Porto,0,7,0,0,0,,16,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
24/02/2024,20:00,Premier League,Matchweek 26,Sat,Home,W,4,1,Newcastle Utd,2.8,0.2,55,"60,298",Martin Ødegaard,4-3-3,4-3-3,Paul Tierney,Match Report,,24/02/2024,20:00,Premier League,Matchweek 26,Sat,Home,W,4,1,Newcastle Utd,3,18,7,38.9,0.17,0.43,13.8,0,0,0,2.8,2.8,0.16,0.2,0.2,Match Report
04/03/2024,20:00,Premier League,Matchweek 27,Mon,Away,W,6,0,Sheffield Utd,2.3,0.2,80,"29,157",Martin Ødegaard,4-3-3,4-5-1,Samuel Barrott,Match Report,,04/03/2024,20:00,Premier League,Matchweek 27,Mon,Away,W,6,0,Sheffield Utd,5,22,9,40.9,0.23,0.56,15.6,1,0,0,2.3,2.3,0.11,2.7,2.7,Match Report
09/03/2024,17:30,Premier League,Matchweek 28,Sat,Home,W,2,1,Brentford,1.3,1,71,"60,331",Martin Ødegaard,4-3-3,3-5-2,Robert Jones,Match Report,,09/03/2024,17:30,Premier League,Matchweek 28,Sat,Home,W,2,1,Brentford,2,17,5,29.4,0.12,0.4,16.4,0,0,0,1.3,1.3,0.08,0.7,0.7,Match Report
12/03/2024,20:00,Champions Lg,Round of 16,Tue,Home,W,1 (4),0 (2),pt Porto,0.9,0.5,58,"60,257",Martin Ødegaard,4-3-3,4-2-3-1,Clément Turpin,Match Report,Leg 2 of 2; Arsenal won; Arsenal won on penalty kicks following extra time,12/03/2024,20:00,Champions Lg,Round of 16,Tue,Home,W,1 (4),0 (2),pt Porto,1,13,4,30.8,0.08,0.25,13,0,0,0,0.9,0.9,0.07,0.1,0.1,Match Report
31/03/2024,16:30,Premier League,Matchweek 30,Sun,Away,D,0,0,Manchester City,0.7,1,28,"52,178",Martin Ødegaard,4-3-3,4-1-4-1,Anthony Taylor,Match Report,,31/03/2024,16:30,Premier League,Matchweek 30,Sun,Away,D,0,0,Manchester City,0,6,2,33.3,0,0,14.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Match Report
03/04/2024,19:30,Premier League,Matchweek 31,Wed,Home,W,2,0,Luton Town,0.7,0.3,58,"60,262",Martin Ødegaard,4-3-3,3-4-3,Craig Pawson,Match Report,,03/04/2024,19:30,Premier League,Matchweek 31,Wed,Home,W,2,0,Luton Town,1,13,4,30.8,0.08,0.25,17.8,0,0,0,0.7,0.7,0.06,0.3,0.3,Match Report
06/04/2024,17:30,Premier League,Matchweek 32,Sat,Away,W,3,0,Brighton,3.4,0.5,46,"31,677",Martin Ødegaard,4-3-3,4-2-3-1,John Brooks,Match Report,,06/04/2024,17:30,Premier League,Matchweek 32,Sat,Away,W,3,0,Brighton,3,19,6,31.6,0.11,0.33,12.4,0,1,1,3.4,2.6,0.14,-0.4,-0.6,Match Report
09/04/2024,20:00,Champions Lg,Quarter-finals,Tue,Home,D,2,2,de Bayern Munich,1,1.9,59,"60,221",Martin Ødegaard,4-3-3,4-2-3-1,Glenn Nyberg,Match Report,Leg 1 of 2,09/04/2024,20:00,Champions Lg,Quarter-finals,Tue,Home,D,2,2,de Bayern Munich,2,13,4,30.8,0.15,0.5,16.7,0,0,0,1,1,0.08,1,1,Match Report
14/04/2024,16:30,Premier League,Matchweek 33,Sun,Home,L,0,2,Aston Villa,1.6,0.9,52,"60,350",Martin Ødegaard,4-3-3,4-2-3-1,David Coote,Match Report,,14/04/2024,16:30,Premier League,Matchweek 33,Sun,Home,L,0,2,Aston Villa,0,18,4,22.2,0,0,17.2,1,0,0,1.6,1.6,0.1,-1.6,-1.6,Match Report
17/04/2024,21:00 (20:00),Champions Lg,Quarter-finals,Wed,Away,L,0,1,de Bayern Munich,0.4,1.3,49,"75,000",Martin Ødegaard,4-3-3,4-2-3-1,Danny Makkelie,Match Report,Leg 2 of 2; Bayern Munich won,17/04/2024,21:00 (20:00),Champions Lg,Quarter-finals,Wed,Away,L,0,1,de Bayern Munich,0,8,3,37.5,0,0,17.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
20/04/2024,19:30,Premier League,Matchweek 34,Sat,Away,W,2,0,Wolves,1.2,0.2,54,"31,621",Martin Ødegaard,4-3-3,4-4-2,Paul Tierney,Match Report,,20/04/2024,19:30,Premier League,Matchweek 34,Sat,Away,W,2,0,Wolves,2,24,9,37.5,0.08,0.22,17.8,0,0,0,1.2,1.2,0.05,0.8,0.8,Match Report
23/04/2024,20:00,Premier League,Matchweek 29,Tue,Home,W,5,0,Chelsea,3.3,1.6,45,"60,238",Martin Ødegaard,4-3-3,4-2-3-1,Simon Hooper,Match Report,,23/04/2024,20:00,Premier League,Matchweek 29,Tue,Home,W,5,0,Chelsea,5,27,10,37,0.19,0.5,16.3,0,0,0,3.3,3.3,0.13,1.7,1.7,Match Report
28/04/2024,14:00,Premier League,Matchweek 35,Sun,Away,W,3,2,Tottenham,1,2.3,38,"61,554",Martin Ødegaard,4-3-3,4-2-3-1,Michael Oliver,Match Report,,28/04/2024,14:00,Premier League,Matchweek 35,Sun,Away,W,3,2,Tottenham,2,9,3,33.3,0.22,0.67,14.3,1,0,0,1,1,0.11,1,1,Match Report
04/05/2024,12:30,Premier League,Matchweek 36,Sat,Home,W,3,0,Bournemouth,3.3,0.5,55,"60,348",Martin Ødegaard,4-3-3,4-3-3,David Coote,Match Report,,04/05/2024,12:30,Premier League,Matchweek 36,Sat,Home,W,3,0,Bournemouth,3,24,8,33.3,0.08,0.25,14,0,1,1,3.3,2.5,0.11,-0.3,-0.5,Match Report
12/05/2024,16:30,Premier League,Matchweek 37,Sun,Away,W,1,0,Manchester Utd,1.5,0.5,46,"73,600",Martin Ødegaard,4-3-3,4-2-3-1,Paul Tierney,Match Report,,12/05/2024,16:30,Premier League,Matchweek 37,Sun,Away,W,1,0,Manchester Utd,1,11,5,45.5,0.09,0.2,13.4,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Match Report
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,W,2,1,Everton,2.9,0.6,68,"60,312",Martin Ødegaard,4-3-3,4-4-1-1,Michael Oliver,Match Report,,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,W,2,1,Everton,2,26,5,19.2,0.08,0.4,14.1,0,0,0,2.9,2.9,0.12,-0.9,-0.9,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,108,816,265,32.5,0.12,0.37,15.7,7,11,11,,,0.11,108,97,
