Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
13/08/2023,16:30,Premier League,Matchweek 1,Sun,Away,D,1,1,Chelsea,1.3,1.4,35,"40,096",Virgil van Dijk,4-3-3,3-4-3,Anthony Taylor,Match Report,,13/08/2023,16:30,Premier League,Matchweek 1,Sun,Away,D,1,1,Chelsea,1,13,1,7.7,0.08,1,17.8,0,0,0,1.3,1.3,0.1,-0.3,-0.3,Match Report
19/08/2023,15:00,Premier League,Matchweek 2,Sat,Home,W,3,1,Bournemouth,3,1.3,64,"53,145",Virgil van Dijk,4-3-3,4-2-3-1,Thomas Bramall,Match Report,,19/08/2023,15:00,Premier League,Matchweek 2,Sat,Home,W,3,1,Bournemouth,3,25,9,36,0.12,0.33,16.8,1,0,1,3,2.1,0.09,0,0.9,Match Report
27/08/2023,16:30,Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,0.9,2,41,"52,214",Virgil van Dijk,4-3-3,4-3-3,John Brooks,Match Report,,27/08/2023,16:30,Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,2,9,4,44.4,0.22,0.5,17.2,1,0,0,0.9,0.9,0.1,1.1,1.1,Match Report
03/09/2023,14:00,Premier League,Matchweek 4,Sun,Home,W,3,0,Aston Villa,2.5,0.7,63,"50,109",Trent Alexander-Arnold,4-3-3,4-4-2,Simon Hooper,Match Report,,03/09/2023,14:00,Premier League,Matchweek 4,Sun,Home,W,3,0,Aston Villa,2,17,4,23.5,0.12,0.5,14.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Match Report
16/09/2023,12:30,Premier League,Matchweek 5,Sat,Away,W,3,1,Wolves,2.5,0.6,65,"31,257",Andrew Robertson,4-3-3,4-2-3-1,Michael Oliver,Match Report,,16/09/2023,12:30,Premier League,Matchweek 5,Sat,Away,W,3,1,Wolves,2,16,5,31.3,0.13,0.4,15.8,0,0,0,2.5,2.5,0.16,-0.5,-0.5,Match Report
21/09/2023,18:45 (17:45),Europa Lg,Group stage,Thu,Away,W,3,1,at LASK,2.2,0.3,66,"18,091",Virgil van Dijk,4-3-3,3-4-3,Marco Di Bello,Match Report,,21/09/2023,18:45 (17:45),Europa Lg,Group stage,Thu,Away,W,3,1,at LASK,3,13,4,30.8,0.15,0.5,16.1,0,1,1,2.2,1.4,0.11,0.8,0.6,Match Report
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,W,3,1,West Ham,3,1.1,63,"50,136",Virgil van Dijk,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,W,3,1,West Ham,3,21,6,28.6,0.1,0.33,19.3,2,1,1,3,2.2,0.11,0,-0.2,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Home,W,3,1,Leicester City,,,57,"49,732",Curtis Jones,4-3-3,4-3-3,Tim Robinson,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Home,W,3,1,Leicester City,3,29,10,34.5,0.1,0.3,,,0,0,,,,,,Match Report
30/09/2023,17:30,Premier League,Matchweek 7,Sat,Away,L,1,2,Tottenham,1.3,2.2,36,"62,001",Virgil van Dijk,4-3-3,4-2-3-1,Simon Hooper,Match Report,,30/09/2023,17:30,Premier League,Matchweek 7,Sat,Away,L,1,2,Tottenham,1,12,4,33.3,0.08,0.25,14.9,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Match Report
05/10/2023,20:00,Europa Lg,Group stage,Thu,Home,W,2,0,be Union SG,2.9,1.1,72,"49,513",Trent Alexander-Arnold,4-3-3,5-3-2,Morten Krogh,Match Report,,05/10/2023,20:00,Europa Lg,Group stage,Thu,Home,W,2,0,be Union SG,2,19,9,47.4,0.11,0.22,17.2,0,0,0,2.9,2.9,0.15,-0.9,-0.9,Match Report
08/10/2023,14:00,Premier League,Matchweek 8,Sun,Away,D,2,2,Brighton,2.3,2.3,54,"31,752",Virgil van Dijk,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,08/10/2023,14:00,Premier League,Matchweek 8,Sun,Away,D,2,2,Brighton,2,13,3,23.1,0.08,0.33,18.8,0,1,1,2.3,1.6,0.12,-0.3,-0.6,Match Report
21/10/2023,12:30,Premier League,Matchweek 9,Sat,Home,W,2,0,Everton,2.2,0.1,77,"50,201",Virgil van Dijk,4-3-3,4-4-1-1,Craig Pawson,Match Report,,21/10/2023,12:30,Premier League,Matchweek 9,Sat,Home,W,2,0,Everton,2,25,5,20,0.04,0.2,22.4,1,1,1,2.2,1.4,0.06,-0.2,-0.4,Match Report
26/10/2023,20:00,Europa Lg,Group stage,Thu,Home,W,5,1,fr Toulouse,2.9,1.1,62,"49,338",Trent Alexander-Arnold,4-3-3,5-3-2,Rade Obrenovi?,Match Report,,26/10/2023,20:00,Europa Lg,Group stage,Thu,Home,W,5,1,fr Toulouse,5,20,9,45,0.25,0.56,17.6,0,0,0,2.9,2.9,0.17,2.1,2.1,Match Report
29/10/2023,14:00,Premier League,Matchweek 10,Sun,Home,W,3,0,Nott'ham Forest,3.2,0.4,72,"50,143",Virgil van Dijk,4-3-3,5-4-1,Chris Kavanagh,Match Report,,29/10/2023,14:00,Premier League,Matchweek 10,Sun,Home,W,3,0,Nott'ham Forest,3,21,8,38.1,0.14,0.38,19.5,2,0,0,3.2,3.2,0.16,-0.2,-0.2,Match Report
01/11/2023,19:45,EFL Cup,Fourth round,Wed,Away,W,2,1,Bournemouth,,,67,"11,116",Mohamed Salah,4-3-3,4-2-3-1,John Brooks,Match Report,,01/11/2023,19:45,EFL Cup,Fourth round,Wed,Away,W,2,1,Bournemouth,2,18,7,38.9,0.11,0.29,,,0,0,,,,,,Match Report
05/11/2023,16:30,Premier League,Matchweek 11,Sun,Away,D,1,1,Luton Town,2.6,0.8,73,"11,049",Virgil van Dijk,4-3-3,3-4-3,Andy Madley,Match Report,,05/11/2023,16:30,Premier League,Matchweek 11,Sun,Away,D,1,1,Luton Town,1,24,6,25,0.04,0.17,17.5,0,0,0,2.6,2.6,0.12,-1.6,-1.6,Match Report
09/11/2023,18:45 (17:45),Europa Lg,Group stage,Thu,Away,L,2,3,fr Toulouse,1.1,1,71,"32,026",Joe Gomez,4-3-3,4-4-2,Georgi Kabakov,Match Report,,09/11/2023,18:45 (17:45),Europa Lg,Group stage,Thu,Away,L,2,3,fr Toulouse,1,19,4,21.1,0.05,0.25,20.8,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report
