Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
13/08/2023,16:30,Premier League,Matchweek 1,Sun,Home,D,1,1,Liverpool,1.4,1.3,65,"40,096",Reece James,3-4-3,4-3-3,Anthony Taylor,Match Report,,13/08/2023,16:30,Premier League,Matchweek 1,Sun,Home,D,1,1,Liverpool,1,10,4,40,0.1,0.25,13.2,1,0,0,1.4,1.4,0.14,-0.4,-0.4,Match Report
20/08/2023,16:30,Premier League,Matchweek 2,Sun,Away,L,1,3,West Ham,2.5,1.8,75,"62,451",Ben Chilwell,3-4-3,4-2-3-1,John Brooks,Match Report,,20/08/2023,16:30,Premier League,Matchweek 2,Sun,Away,L,1,3,West Ham,1,16,3,18.8,0.06,0.33,17.1,0,0,1,2.5,1.7,0.11,-1.5,-0.7,Match Report
25/08/2023,20:00,Premier League,Matchweek 3,Fri,Home,W,3,0,Luton Town,2.2,0.4,67,"39,893",Ben Chilwell,3-4-3,5-3-2,Robert Jones,Match Report,,25/08/2023,20:00,Premier League,Matchweek 3,Fri,Home,W,3,0,Luton Town,3,19,8,42.1,0.16,0.38,14.2,1,0,0,2.2,2.2,0.12,0.8,0.8,Match Report
30/08/2023,19:45,EFL Cup,Second round,Wed,Home,W,2,1,AFC Wimbledon,,,84,"37,794",Conor Gallagher,4-2-3-1,4-4-1-1,Tony Harrington,Match Report,,30/08/2023,19:45,EFL Cup,Second round,Wed,Home,W,2,1,AFC Wimbledon,2,23,9,39.1,0.04,0.11,,,1,1,,,,,,Match Report
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,L,0,1,Nott'ham Forest,2.3,0.8,75,"39,820",Ben Chilwell,3-4-3,3-4-3,Tim Robinson,Match Report,,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,L,0,1,Nott'ham Forest,0,21,2,9.5,0,0,17.7,2,0,0,2.3,2.3,0.11,-2.3,-2.3,Match Report
17/09/2023,14:00,Premier League,Matchweek 5,Sun,Away,D,0,0,Bournemouth,1.8,1,64,"10,421",Conor Gallagher,4-2-3-1,4-2-3-1,David Coote,Match Report,,17/09/2023,14:00,Premier League,Matchweek 5,Sun,Away,D,0,0,Bournemouth,0,14,6,42.9,0,0,15,1,0,0,1.8,1.8,0.14,-1.8,-1.8,Match Report
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,L,0,1,Aston Villa,1.3,1,53,"39,700",Conor Gallagher,4-2-3-1,4-2-3-1,Jarred Gillett,Match Report,,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,L,0,1,Aston Villa,0,10,4,40,0,0,17.8,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Home,W,1,0,Brighton,,,39,"37,516",Ben Chilwell,4-2-3-1,4-2-3-1,Thomas Bramall,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Home,W,1,0,Brighton,1,9,4,44.4,0.11,0.25,,,0,0,,,,,,Match Report
02/10/2023,20:00,Premier League,Matchweek 7,Mon,Away,W,2,0,Fulham,1.7,1.1,44,"24,445",Conor Gallagher,4-3-3,4-3-3,Tim Robinson,Match Report,,02/10/2023,20:00,Premier League,Matchweek 7,Mon,Away,W,2,0,Fulham,2,11,4,36.4,0.18,0.5,19.8,1,0,0,1.7,1.7,0.16,0.3,0.3,Match Report
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,W,4,1,Burnley,1.9,0.7,62,"21,654",Conor Gallagher,4-3-3,4-3-3,Stuart Attwell,Match Report,,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,W,4,1,Burnley,3,8,4,50,0.25,0.5,18.1,0,1,1,1.9,1.1,0.13,1.1,0.9,Match Report
21/10/2023,17:30,Premier League,Matchweek 9,Sat,Home,D,2,2,Arsenal,1.3,1,44,"39,723",Conor Gallagher,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,,21/10/2023,17:30,Premier League,Matchweek 9,Sat,Home,D,2,2,Arsenal,2,10,4,40,0.1,0.25,20.4,0,1,1,1.3,0.6,0.06,0.7,0.4,Match Report
28/10/2023,12:30,Premier League,Matchweek 10,Sat,Home,L,0,2,Brentford,1.9,2.2,68,"39,575",Conor Gallagher,4-2-3-1,3-5-2,Simon Hooper,Match Report,,28/10/2023,12:30,Premier League,Matchweek 10,Sat,Home,L,0,2,Brentford,0,17,2,11.8,0,0,16.1,1,0,0,1.9,1.9,0.12,-1.9,-1.9,Match Report
01/11/2023,19:45,EFL Cup,Fourth round,Wed,Home,W,2,0,Blackburn,,,64,"39,548",Reece James,4-2-3-1,4-1-3-2,Tim Robinson,Match Report,,01/11/2023,19:45,EFL Cup,Fourth round,Wed,Home,W,2,0,Blackburn,2,22,7,31.8,0.09,0.29,,,0,0,,,,,,Match Report
06/11/2023,20:00,Premier League,Matchweek 11,Mon,Away,W,4,1,Tottenham,4.1,0.9,60,"61,726",Reece James,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,06/11/2023,20:00,Premier League,Matchweek 11,Mon,Away,W,4,1,Tottenham,4,16,6,37.5,0.19,0.5,16.8,0,1,1,4.1,3.3,0.21,-0.1,-0.3,Match Report
12/11/2023,16:30,Premier League,Matchweek 12,Sun,Home,D,4,4,Manchester City,2.9,2.9,45,"39,532",Reece James,4-2-3-1,3-2-4-1,Anthony Taylor,Match Report,,12/11/2023,16:30,Premier League,Matchweek 12,Sun,Home,D,4,4,Manchester City,4,16,8,50,0.19,0.38,19.1,1,1,1,2.9,2.2,0.14,1.1,0.8,Match Report
25/11/2023,15:00,Premier League,Matchweek 13,Sat,Away,L,1,4,Newcastle Utd,0.5,2.4,46,"52,227",Reece James,4-2-3-1,4-3-3,Simon Hooper,Match Report,,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Away,L,1,4,Newcastle Utd,1,7,4,57.1,0.14,0.25,18.4,2,0,0,0.5,0.5,0.08,0.5,0.5,Match Report
03/12/2023,14:00,Premier League,Matchweek 14,Sun,Home,W,3,2,Brighton,2.1,1.1,32,"39,647",Conor Gallagher,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,03/12/2023,14:00,Premier League,Matchweek 14,Sun,Home,W,3,2,Brighton,3,7,3,42.9,0.29,0.67,19.6,0,1,1,2.1,1.3,0.19,0.9,0.7,Match Report
06/12/2023,20:15,Premier League,Matchweek 15,Wed,Away,L,1,2,Manchester Utd,1.5,4.1,55,"73,607",Levi Colwill,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,06/12/2023,20:15,Premier League,Matchweek 15,Wed,Away,L,1,2,Manchester Utd,1,13,3,23.1,0.08,0.33,15,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report
10/12/2023,14:00,Premier League,Matchweek 16,Sun,Away,L,0,2,Everton,0.9,1.2,71,"39,280",Reece James,4-2-3-1,4-4-1-1,Michael Oliver,Match Report,,10/12/2023,14:00,Premier League,Matchweek 16,Sun,Away,L,0,2,Everton,0,16,4,25,0,0,18.5,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report
16/12/2023,15:00,Premier League,Matchweek 17,Sat,Home,W,2,0,Sheffield Utd,3.1,0.4,78,"39,599",Conor Gallagher,4-2-3-1,4-1-4-1,Andy Madley,Match Report,,16/12/2023,15:00,Premier League,Matchweek 17,Sat,Home,W,2,0,Sheffield Utd,2,15,6,40,0.13,0.33,17.2,1,0,0,3.1,3.1,0.2,-1.1,-1.1,Match Report
19/12/2023,20:00,EFL Cup,Quarter-finals,Tue,Home,D,1 (4),1 (2),Newcastle Utd,,,78,"38,058",Conor Gallagher,4-2-3-1,4-3-3,Jarred Gillett,Match Report,Chelsea won on penalty kicks following extra time,19/12/2023,20:00,EFL Cup,Quarter-finals,Tue,Home,D,1 (4),1 (2),Newcastle Utd,1,15,4,26.7,0.07,0.25,,,0,0,,,,,,Match Report
24/12/2023,13:00,Premier League,Matchweek 18,Sun,Away,L,1,2,Wolves,2,1.3,68,"31,641",Conor Gallagher,4-2-3-1,3-4-3,David Coote,Match Report,,24/12/2023,13:00,Premier League,Matchweek 18,Sun,Away,L,1,2,Wolves,1,16,4,25,0.06,0.25,17.4,1,0,0,2,2,0.13,-1,-1,Match Report
27/12/2023,19:30,Premier League,Matchweek 19,Wed,Home,W,2,1,Crystal Palace,2.6,1.1,63,"39,618",Conor Gallagher,4-2-3-1,4-3-3,Michael Salisbury,Match Report,,27/12/2023,19:30,Premier League,Matchweek 19,Wed,Home,W,2,1,Crystal Palace,2,8,2,25,0.13,0.5,15.3,0,1,1,2.6,1.8,0.22,-0.6,-0.8,Match Report
30/12/2023,12:30,Premier League,Matchweek 20,Sat,Away,W,3,2,Luton Town,1.5,2.3,48,"11,041",Conor Gallagher,4-2-3-1,3-4-3,Paul Tierney,Match Report,,30/12/2023,12:30,Premier League,Matchweek 20,Sat,Away,W,3,2,Luton Town,3,12,8,66.7,0.25,0.38,17.5,0,0,0,1.5,1.5,0.12,1.5,1.5,Match Report
06/01/2024,17:30,FA Cup,Third round proper,Sat,Home,W,4,0,Preston,,,70,"39,705",Levi Colwill,4-2-3-1,3-4-3,Thomas Bramall,Match Report,,06/01/2024,17:30,FA Cup,Third round proper,Sat,Home,W,4,0,Preston,4,24,12,50,0.17,0.33,,,0,0,,,,,,Match Report
09/01/2024,20:00,EFL Cup,Semi-finals,Tue,Away,L,0,1,Middlesbrough,,,72,"32,097",Conor Gallagher,4-2-3-1,3-4-3,Samuel Barrott,Match Report,Leg 1 of 2,09/01/2024,20:00,EFL Cup,Semi-finals,Tue,Away,L,0,1,Middlesbrough,0,18,5,27.8,0,0,,,0,0,,,,,,Match Report
13/01/2024,12:30,Premier League,Matchweek 21,Sat,Home,W,1,0,Fulham,2.2,0.8,55,"39,643",Conor Gallagher,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,13/01/2024,12:30,Premier League,Matchweek 21,Sat,Home,W,1,0,Fulham,1,16,2,12.5,0,0,17.5,0,1,1,2.2,1.4,0.09,-1.2,-1.4,Match Report
